"Code_postal","coordonnees_gps1","coordonnees_gps2"
"01300",45.73450457369545,5.662604883066365
"01110",45.99620176375,5.560492976239999
"01570",46.36150858565001,4.8835078973775
"01270",46.38300152440001,5.309211881892857
"01360",45.83796215082501,5.1415869644525
"01200",46.11930441761111,5.814856542077777
"01260",45.95164105096,5.68746829707
"01330",45.99676869285,5.0132409257775
"01120",45.85946751864286,5.0481451102528565
"01190",46.42514780206667,4.957564321560834
"01800",45.90101769933333,5.164909657955833
"01510",45.84854799459999,5.638684952889091
"01630",46.22064269082,5.971661129031999
"01240",46.0918129713,5.130695163722499
"01430",46.09935404670999,5.540869334838
"01390",45.9322153582375,4.9282736167425
"01310",46.235292785424996,5.12023033964625
"01250",46.20013353800001,5.373017763507778
"01370",46.28918398216,5.3238362729999995
"01320",46.00627181786667,5.200889698369999
"01340",46.33349866904,5.111769692339
"01500",45.962370353375,5.337891775821251
"01160",46.06843578481428,5.311527499648571
"01230",45.935283557163636,5.47433399304909
"01210",46.2763992727,6.10113026537
"01350",45.830012621933335,5.756301695837778
"01090",46.09055952601667,4.7889262612516665
"01460",46.17178244698332,5.56618532112
"01130",46.188339046811116,5.712559465692221
"01140",46.1604014847125,4.837773428455001
"01480",46.01083564803333,4.794169972903333
"01560",46.44383457765834,5.112612798082501
"01100",46.23811828135714,5.639341996310001
"01450",46.116143811,5.459987945799999
"01700",45.834008155675,4.9616535524825
"01550",46.1510815711,5.917200710486667
"01280",46.25827228,6.07223251859
"01750",46.29865218923334,4.86388852187
"01000",46.20817594175,5.21532466136
"01600",45.94602796621111,4.801066993698889
"01150",45.878308459454544,5.337007728614546
"01540",46.22162663506666,4.977149827476667
"01580",46.240589601875,5.548479408735001
"01470",45.80375983754,5.474375881018001
"01960",46.15299515073334,5.17954813568
"02110",49.970380075269574,3.449998618786522
"02370",49.40895862913751,3.51780911569875
"02800",49.67054414761875,3.39877740844625
"02480",49.7425320424,3.1591109427940003
"02360",49.75030538031667,4.1433942837050015
"02210",49.213426657944446,3.355399065834445
"02860",49.4893426306,3.6752745735818184
"02500",49.888893517255546,4.0903388260855555
"02250",49.74260577367222,3.7915562969472223
"02580",49.90233658766667,3.88750810438
"02220",49.32147165869665,3.5484591757303336
"02450",50.00097970878572,3.6974802223642853
"02190",49.443480975312504,3.98262776329125
"02400",49.061098859539136,3.3893305609186966
"02350",49.64120169455334,3.834887080398666
"02160",49.39551929292259,3.726968728685161
"02000",49.53774399296924,3.5755123490388456
"02320",49.50713895812221,3.446168172591111
"02130",49.189048249885715,3.5591532608728573
"02620",49.9577111138,3.838016082
"02300",49.58572118798709,3.1809438046377414
"02330",48.98864161895455,3.5439114952181825
"02870",49.599681062842855,3.5186613573142855
"02670",49.54638942685,3.277511390025
"02310",48.99153717264546,3.2759582180718185
"02200",49.35179876949999,3.3224138131596153
"02120",49.89311496579615,3.6523431974484613
"02820",49.502579105663635,3.8227491455190905
"02380",49.5152673576,3.343722499327272
"02270",49.70893791393333,3.605957844132856
"02600",49.27960282437308,3.1430015314942303
"02880",49.42467683462222,3.389114988943333
"02680",49.80701653768,3.2411089332239995
"02340",49.68757751216875,4.033089934166875
"02540",48.914545855985715,3.446706481167142
"02510",49.97937278285,3.6421789401774998
"02840",49.5619906669875,3.7326539698662504
"02590",49.81087519350833,3.1302296538508334
"02650",49.05028966216667,3.5029638534133336
"02140",49.81512980604849,3.8922323945827277
"02260",49.958816871433335,3.901362387478333
"02420",49.965896765176474,3.2513769457605872
"02100",49.87063432504545,3.312267468260909
"02720",49.84678766816668,3.3836155760066666
"02240",49.77702327089411,3.4284620032976476
"02850",49.08178233857143,3.5598760661157143
"02810",49.09868297941667,3.2128639780341666
"02700",49.64431638427777,3.302482861388889
"02390",49.8413112628,3.4957706686675003
"02610",49.750274961,3.35100553228
"02470",49.1563953771,3.2282419713
"02150",49.5745017241,3.9776994817875
"02830",49.921167002649995,4.176642735745
"02410",49.58740234746667,3.406629088606666
"02690",49.78191440235,3.294222131055
"02490",49.89523218187,3.15800437521
"02290",49.42461937131177,3.1874653462476474
"02630",49.9892542682,3.5736801821833333
"03200",46.11077818206667,3.4499556786766674
"03210",46.517266881141666,3.16947614765
"03120",46.2173591043,3.6535724801384615
"03460",46.662612753759994,3.247492556322
"03000",46.570891925116676,3.2848711196100004
"03800",46.11654627215,3.2056059920725004
"03330",46.204661857199994,3.0314339288214285
"03700",46.09774961333334,3.3719026673066668
"03340",46.447465700137506,3.437507787215
"03390",46.32746977577,2.9407719725379997
"03130",46.34720573642143,3.8436425654699997
"03160",46.611360751685716,3.02947646945
"03270",46.0559313938,3.477008142725
"03600",46.275615301066665,2.7965889568683338
"03140",46.24005007998001,3.1615447585186667
"03500",46.32692791294666,3.268112775684
"03220",46.374813671824995,3.597849151511667
"03370",46.455036225722225,2.3975499523311115
"03450",46.14740670371429,3.037367076247143
"03110",46.16412284648888,3.3275475767255553
"03430",46.451911001679996,2.843936940186
"03300",46.14815150855714,3.5094715922799997
"03630",46.3569236858,2.62735601895
"03290",46.5116634803,3.6875022405333335
"03190",46.47656312868182,2.648487382732727
"03150",46.29750368352,3.45530771957
"03440",46.459505589366664,2.9740240703333334
"03230",46.62576375291,3.5815104832799998
"03240",46.40700236153751,3.0856580834999994
"03360",46.665998837525,2.68719592360875
"03320",46.72394206791429,2.983782219497143
"03310",46.27366492545,2.65214569374
"03400",46.596200179175,3.3915738805649998
"04170",43.99392566017,6.532532517956
"04140",44.32723751278751,6.323254715005
"04150",44.0564471942,5.632262844508889
